name,website,type,business_model,pricing,offer_usp,sales_points,positioning,client_profile,geographical_focus,social_media_links,content_strategy_analysis,social_results,marketing_strategy,technology_offering,technology_functions,integrations,other_info,Monthly traffic av 3 month
Kobe Global Technologies,https://getkobe.com/,Agency,"An AI-powered influencer marketing agency, likely operating on a service-based model (retainers or project fees).","Specifics on pricing, retainers, or minimum spend are not publicly disclosed.","An AI-powered influencer marketing agency that prioritizes 'relevance over popularity,' using its patented AI to match brands with the most suitable influencers to drive measurable results.","Utilizes a patented AI that analyzes 26 data points across millions of creators for 'hyper-relevant' matching. Official partner of both TikTok and Meta. Highly decorated, winning the Gold award for 'Influencer Agency of the Year' from Marketing-Interactive five times consecutively (2020-2024). Offers specialized services in social live streaming and e-commerce ROI strategies. Has a network of 20,000-30,000+ creators in Southeast Asia.","A leading, AI-powered influencer marketing agency in Southeast Asia that sparks meaningful conversations by connecting brands with hyper-relevant influencers.","A wide range of verticals, including FMCG, Retail, Finance, Travel, F&B, and Government. High-profile clients include McDonald's, Prime Video, CASETiFY, Coca-Cola, Great Eastern, and Lazada.","Focused on Southeast Asia, with headquarters in Singapore and operations in Malaysia, the Philippines, Indonesia, Thailand, and Vietnam.","Active on LinkedIn (Kobe), Facebook (kobeglobal), Instagram (@getkobe), and TikTok (@getkobe).",Not provided in context.,Has access to over 600M+ in audience data via its creator network.,"Marketing is driven by its numerous 'Agency of the Year' awards, official partnerships with TikTok and Meta, and case studies with major brands like McDonald's.",Utilizes a patented AI technology and a proprietary 'Kobe Relevance Concept' (KRC) for influencer matching and campaign strategy.,The AI analyzes 26 data points for hyper-relevant matching and provides campaign tracking dashboards.,Official Facebook Business Partner and a partner with TikTok.,Founded in 2016. The name Kobe (口碑) means 'word-of-mouth' in Chinese. Listed on the Singapore government portal beglobalready.gov.sg with a 'Good Company Report' for 2023.,"17,200"
Pietra,https://www.pietrastudio.com/,Platform,"A vertically integrated, AI-powered Commerce Operating System (OS) with a monthly subscription (SaaS) model.","Offers tiered monthly subscriptions: Pietra Essentials ($29/mo billed yearly), Pietra Business ($149/mo billed yearly), and Pietra Plus (custom pricing). Additional fees apply for payment processing and AI Content Studio usage.","An AI Commerce Operating System that provides an all-in-one, vertically integrated platform to help creators and e-commerce brands launch and scale product businesses by automating sourcing, supply chain, fulfillment, and marketing.","AI-powered access to a network of over 50,000 global suppliers and factories. Integrated U.S. 3PL fulfillment network with no minimums or setup fees. AI agents automate marketing tasks, including influencer identification, content creation, and competitor monitoring. AI Design Studio turns sketches into production-ready 3D designs. Claims 40-50% savings on storage, fulfillment, and shipping. Trusted by over 300,000 brands and entrepreneurs.","An AI Commerce Operating System and the quickest path from idea to sale (<90 days), serving as a conversational AI business partner for creators and e-commerce brands.","Creators, entrepreneurs, and e-commerce brands looking to launch and scale their own product-based businesses.","Global, with an integrated U.S. 3PL network for fulfillment.","Active on Instagram, Facebook, Twitter, TikTok, and LinkedIn.",Marketing highlights case studies like Bad Mouth and Gel Blasters and promotes itself as the fastest way to launch a product business.,Has a 4.5 rating on Trustpilot.,"Marketing is centered on the platform's powerful AI automation capabilities and its all-in-one, vertically integrated solution, positioning it as a comprehensive OS for modern commerce.",An AI Commerce Operating System with multiple AI models and purpose-built 'AI Assistants' that connect to business data. The 'Pietra Copilot' serves as a conversational AI business partner.,"AI-powered supplier sourcing and negotiation, AI design and content generation, AI-powered inventory forecasting, automated marketing (influencer outreach, content creation, competitor monitoring), and e-commerce storefront management.","Deeply integrates with key e-commerce and marketing platforms, including Shopify, Amazon, TikTok Shop, Wix, WooCommerce, Meta, and Google.",Co-founded in 2019 by former Uber employees Ronak Trivedi (CEO) and Pan Pan (CTO).,"125,435"
SuperOrdinary,https://www.superordinary.co/,Agency,"A global, social commerce-first agency that takes a percentage of every transaction conducted across its platforms.",Not publicly disclosed.,"A global, social commerce-first agency and certified TikTok Shop partner specializing in growing brands on platforms like TikTok Shop and Amazon, with deep expertise in cross-border commerce.","Certified TikTok Shop partner. Strong presence and expertise in the Chinese market (Douyin), generating over $500 million in sales since 2018. Manages a vast network of over 400,000 active affiliates and creators in the U.S. Offers end-to-end services, including custom livestream production, creator live ops, and logistics. Has generated over $40 million in GMV via TikTok Shop. Acquired Fanfix, a creator monetization startup.","A global, social commerce-first agency that helps brands navigate and grow on platforms like TikTok Shop and Amazon, leveraging data-driven strategies and deep cross-border expertise.","Global and emerging brands looking to enter or scale on social commerce platforms, particularly TikTok Shop and in the Chinese market. Has helped launch brands like Supergoop, Olaplex, and Milk Makeup on these platforms.","Global, with strong expertise in the US and Chinese markets. Has a 300-person office in Shanghai and expanded to Los Angeles in 2021.",Not provided in context.,Not provided in context.,"Has generated over $40 million in GMV via TikTok Shop and conducted over 4,500 hours of livestream shopping.","Marketing is driven by its certified TikTok Shop partner status, impressive sales figures, and case studies of successfully launching major US brands into the Chinese market and onto TikTok Shop.","The agency is platform-agnostic and data-driven, but no specific proprietary technology is mentioned. It uses collected data insights to sell back to brands and creators.","Brand Management & Strategy, E-Commerce & Shop Management, Paid Media, Data Analysis, Creative & Content Strategy, Demand Planning & Forecasting, and Creator Live Ops.","Certified TikTok Shop partner. Manages brand growth on TikTok Shop, Amazon, and other platforms.","Raised a $58 million Series B round in 2023, boosting its valuation to over $800 million. Launched SuperOrdinary Studios in July 2025 to focus on creator-led entertainment fused with social commerce.","4,700"
MeiONE,https://www.meione.com/,Mix (MCN & Agency),"A leading E-commerce MCN operating on a model that includes talent management, live e-commerce services, brand promotion, and SaaS software development for the beauty industry.",Not publicly disclosed.,"A leading Chinese E-commerce MCN, most famous for managing Li Jiaqi (Austin Li), China's 'Lipstick King,' and operating a highly professionalized, end-to-end live e-commerce service with a rigorous product selection process.","Manages Li Jiaqi, who has over 170 million followers and generates billions of RMB in sales. Employs a rigorous seven-step product selection process to ensure quality and compliance. Has expanded its IP portfolio to include multiple influencers and content brands. Developed dedicated platforms for merchants to manage livestreaming and private domain cooperation. Has played a key role in professionalizing the industry by helping draft China's first corporate standard for live e-commerce. Has won numerous awards from 2016 to 2024, including 'Top MCN' from Taobao Live.","A leading E-commerce MCN and live-commerce service provider in China with a strong specialization in the beauty, skincare, and lifestyle verticals.","Top domestic and international brands in the beauty and lifestyle sectors seeking to leverage live e-commerce in China. Collaborations include Florasis, Yuanqi Forest, Olay, and Perfect Diary. Also develops SaaS software for beauty enterprises.",Primarily focused on the Chinese market. Headquartered in Shanghai.,"Core operations are on Taobao Live and Douyin. Also active on WeChat, Xiaohongshu, Bilibili, and Weibo.",Not provided in context.,Li Jiaqi's livestream room reportedly generated 2.5-3.5 billion RMB in beauty sales on a single day in 2024.,"Marketing is centered around the massive influence of its top talent, Li Jiaqi. The company also builds its reputation through industry leadership, publishing 'High-Quality Development Reports' and co-publishing research with consumer protection commissions.",Develops SaaS software for the beauty industry and operates dedicated online platforms for merchant cooperation (sj.meione.comand union.meione.com).,"The SaaS software helps enterprises manage marketing, physical stores, appointments, memberships, and finances. The merchant platforms streamline cooperation for livestreaming and private domain sales.","Deeply integrated with China's major e-commerce and social platforms, especially Taobao Live and Douyin.",Founded in 2014/2015. The company is privately held and venture capital-backed. It has faced public scrutiny over a price-control dispute and an internal corruption case.,"30,135"
Dayu Media,https://www.dayukeji.com/,Mix (MCN & Media Company),"A diversified MCN and integrated media company that operates as an IP content incubation platform, combining influencer management, ACG content production, and branded consumer product merchandising.",Not publicly disclosed.,"A diversified Chinese MCN and IP content incubation platform that integrates influencer management, high-quality ACG (anime, comics, games) content production, and branded merchandising.","Focuses on high-quality content creation targeting youth culture. Tencent-certified top developer. Has built a comprehensive ecosystem integrating content production, distribution, marketing, and sales. Produces original content, including web anime like 'Please Take My Brother Away.' Develops its own branded merchandise (toys, apparel) tied to its influencer IPs. Reached 100 million followers on Douyin as early as 2018.",An integrated media company and IP content incubation platform specializing in youth culture.,"Tens of thousands of clients across various sectors, including beauty, electronics, food, and education.","Primarily focused on the Chinese market. Headquartered in Suzhou, Jiangsu.","Strong presence across Bilibili, Douyin, Xiaohongshu (RedNote), and Weibo.",Not provided in context.,Not provided in context.,Marketing is driven by the popularity of its original IP and influencer content across major Chinese social platforms.,No specific proprietary technology platform is mentioned; the focus is on content production and IP development.,Not applicable.,Deeply integrated with major Chinese social platforms.,"Founded in 2014. Venture capital-backed, with investors including Xiaomi, China Merchants Capital, and CICC Capital. Named among China's Top 10 MCNs in 2025.",670
Hive Media,https://www.hivemedia.cn/index.html,Mix (MCN & Agency),A diversified new media organization and MCN offering a range of services from KOL marketing and content creation to influencer e-commerce and live streaming.,Not publicly disclosed.,"A large-scale Chinese MCN that integrates content creation, self-media incubation, social media marketing, and film/television production, with a roster of over 2,200 exclusive KOLs.","Incubates and contracts over 2,200 exclusive KOLs with a collective reach of more than 1.9 billion followers. Has served over 13,000 clients. Content has generated over 100 billion cumulative video views. Business turnover exceeds 300 million RMB. Offers a wide range of services, including integrated marketing, IP development, and brand Tmall store management.","A multi-faceted new media organization and MCN that has evolved from a KOL resource provider to a comprehensive company integrating content, marketing, and e-commerce.","A wide range of brands seeking KOL marketing, integrated campaigns, and e-commerce support in China.","Primarily focused on the Chinese market. Headquartered in Shenzhen, Guangdong.","Operates across major platforms such as Weibo, Bilibili, Xiaohongshu, and Douyin.",Not provided in context.,Not provided in context.,Not provided in context.,No specific proprietary technology is mentioned.,Not applicable.,Integrated with major Chinese social and e-commerce platforms like Weibo and Tmall.,"Founded in 2014. Privately held and venture capital-backed. In 2019, the company was at the center of a major controversy involving accusations of falsifying data on Weibo, which highlighted the issue of click farming in the industry.",593
Wuyou Media (Joy Media),https://wuyou.com/,Mix (MCN & Agency),"A professional internet-based brokerage company and MCN offering a comprehensive suite of services including live streaming, short videos, e-commerce, artist management, and integrated marketing.",Not publicly disclosed.,"A dominant Chinese MCN and official TikTok partner that manages a vast network of over 100,000 creators and has been ranked the #1 MCN on Douyin for 51 consecutive months.","Manages a network of over 100,000 signed creators with a cumulative fan base exceeding 3 billion. Ranked the #1 MCN on Douyin for 51 consecutive months (as of July 2023). Official authorized TikTok Influencer Management Agency and member of TikTok's LIVE Creator Network. Manages high-profile celebrity influencers like Liu Genghong. Has a dual-headquarters model in Beijing and Hangzhou and is expanding globally. Has strategic partnerships with major brands like Siemens and Chow Tai Seng Jewelry.","A leading professional internet-based brokerage company and MCN in China, specializing in live streaming, short videos, and e-commerce.","Major brands seeking strategic partnerships and e-commerce development on TikTok/Douyin. Partners include Siemens, People's Daily, and Chow Tai Seng Jewelry. Also manages a wide range of talent, from emerging creators to established celebrities.","Primarily focused on the Chinese market, with a dual-headquarters in Beijing and Hangzhou and numerous offices across China. Actively expanding globally with offices in the US, South Korea, Egypt, and Kazakhstan.","Official presence on Weibo, WeChat, Douyin, and Instagram (@joymedia.agency).",Not provided in context.,Content has generated over 9 million short videos and accumulated over 30 billion likes.,"Marketing is driven by its dominant ranking on Douyin, high-profile talent roster, and strategic partnerships with major corporations, which are promoted through press and social media.","No specific proprietary technology is mentioned; the focus is on management, production, and operational support.",Not applicable.,"As an official TikTok partner, it has deep integration with the Douyin/TikTok platform.","Established in 2016. A standing council member of the Internet Performance Branch of the China Performance Industry Association. A contract dispute with Tesla (Shanghai) Co., Ltd. was reported in November 2025.","6,965"
Z Media,https://z.media/,Agency,"A full-service agency specializing in TikTok Shop, likely operating on retainers or project fees.",Not publicly disclosed.,"The world's first 'social commerce powerhouse' and an official TikTok Shop Partner agency that creates compounding revenue engines for brands by integrating culture, creativity, commerce, and community.","One of the first official TikTok Shop Partner agencies in the Western world (UK and US). Has driven over $50 million in GMV on TikTok Shop. Achieves a monthly reach of over 100 million. Manages the entire social commerce pipeline for brands, including affiliates, UGC, and shop operations. Offers education and training through 'The Creator University™'. Utilizes a proprietary AI platform called 'TokShopOS™'.","A specialist agency that helps brands master TikTok Shop by integrating content, community, and commerce.","Brands looking to scale on TikTok Shop. Notable client successes include Anastasia Beverly Hills ($187k in sales in 30 days), Filter By Molly-Mae (91x ROI), MyProtein (27x ROI), and COSRX ($127k in sales in 30 days).","Focused on Western markets, with headquarters in London, UK, and a location in Los Angeles, US.","LinkedIn (Z MEDIA® GROUP), Instagram (@zmediahq), TikTok (@zmediahq), and YouTube (@zmediahq).",Not provided in context.,"A campaign for LuckyTrip generated over 100,000 app installs in 3 weeks, reaching the #1 travel app spot in the UK App Store.","Marketing is heavily based on showcasing impressive, quantifiable results (GMV, ROI) for well-known brands on TikTok Shop. Its status as an early and official TikTok Shop partner is a key credential.",Utilizes a proprietary AI platform called 'TokShopOS™'.,"The functions of TokShopOS™ are not detailed, but it likely supports the agency's management of content, affiliates, and shop operations on TikTok.","As an official TikTok Shop Partner, the agency has deep integration with the TikTok platform.",Founded in 2020 by Remy.,985
DCT Agency,https://dctagency.com/,Mix (MCN & Agency),"A digital advertising firm and MCN offering a range of services for TikTok and Shopee, likely on a service-fee or commission basis.",Not publicly disclosed.,"Indonesia's First Official 5-star TikTok Shop MCN, connecting brands with a large network of influencers for marketing campaigns and live commerce on TikTok and Shopee.","Named TikTok Shop Agency (MCN) of The Year in both 2022 and 2023. Named Top Shopee MCN Partner in 2023 for highest GMV and service quality. Has driven over $50 million in sales on TikTok for its clients. Manages a network of over 1,000 content creators with a combined following of over 300 million. Has worked with over 150 brands and SMEs, including P&G, Nivea, and Spotify.","A leading digital advertising firm and MCN in Indonesia, specializing in driving sales and growth for brands on TikTok Shop and Shopee.","Brands and SMEs seeking to grow on TikTok Shop and Shopee in Indonesia. Clients include top-tier global companies like Procter & Gamble, Nivea, Mayora, Sociolla, Spotify, and Grab.","Exclusively focused on the Indonesian market. Headquartered in BSD City, Banten, Indonesia.","TikTok (@dct.agency), Instagram (@dct.agency), LinkedIn (DCT Agency), and Facebook.",Not provided in context.,Has generated over 77 billion total views on TikTok.,"Marketing is driven by its top-tier official partner status and 'Agency of the Year' awards from both TikTok Shop and Shopee, which it uses to establish credibility and attract clients in the Indonesian market.",No proprietary technology is mentioned; the agency focuses on service-based execution and talent management.,Not applicable.,"As a top partner for both TikTok Shop and Shopee, the agency has deep operational integration with these platforms.",Founded in 2021. A subsidiary of OPI Esportainment (OPI Esports). Secured Pre-Series A funding from Living Lab Ventures and other investors.,"2,235"
ShopShops,https://shopshopslive.com/,Platform (Marketplace),"A global, interactive livestreaming e-commerce marketplace. It charges sellers a commission on sales and consumers a platform fee at checkout.","Sellers are charged a commission on the price paid by the consumer. A platform fee is charged to the consumer at checkout. Sellers may also be responsible for ancillary fees like shipping, taxes, and chargebacks.","The '#1 destination for livestream shopping,' providing a global marketplace that connects sellers directly with consumers through interactive 'Live Shows.'","Serves a global audience of 2.7 million users (as of April 2023) with a high concentration in the US, Japan, China, and Europe. Caters to a wide range of sellers, from iconic retail stores to independent businesses. Supports categories including fashion, beauty, home, food, and authentic pre-owned luxury. Partners with Entrupy for authenticating luxury goods. Offers multichannel sell-through services.","A global livestream shopping marketplace that enables sellers to create their own storefronts, manage inventory, and sell goods directly to consumers via interactive live shows.","Sellers of all types, including iconic retail stores, fashion brands, local boutiques, and independent businesses.","Global, with a high concentration of users in the US, Japan, China, and Europe.",Not provided in context.,Not provided in context.,Has 2.7 million users as of April 2023.,Not provided in context.,A livestreaming e-commerce marketplace platform.,"Seller storefront creation, inventory management, live show production and broadcasting, and payment processing.",Partners with Shop Pay and Afterpay for payments and Entrupy for luxury goods authentication.,"ShopShops is the sole owner of all rights to the Live Shows produced on its platform. Payouts to sellers are initiated when their payable balance exceeds $2,000 USD or 30 days have passed since the last payment.","14,700"
Gushcloud,https://www.gushcloud.com/,"Mix (Agency, Talent Management, Live Commerce)","A global creator management and licensing company operating through four specialized units: Agency (marketing), Entertainment (creator IP), Studios (content), and GC Live (live commerce). Model is based on talent management, campaign execution, and revenue sharing.",Not publicly disclosed.,"A global creator management and licensing company with a strong foothold in Southeast Asia, building a sustainable creator economy through data-driven brand partnerships, IP licensing, and live commerce.","Global presence in 13 countries with a strong focus on Southeast Asia. Partners with over 20,000 creators globally and executes 5,000+ campaigns annually. Operates a dedicated live commerce unit, GC Live, selling global brands into SEA. An initial partner for YouTube's Creator Solutions program in Southeast Asia. Partnering with the Abu Dhabi Investment Office to launch a global creator hub. Acquired Wizdeo's MCN in June 2025 to build a '$1 billion creator business'.","A global creator and entertainment company focused on 'Tomorrow's Positive Influence,' building a positive, engaging, and sustainable creator economy.","Global brands seeking to engage audiences in Southeast Asia and beyond. Notable clients include Innisfree and Laneige. Also represents over 20,000 creators.","Global, with headquarters in Singapore and a strong presence across Southeast Asia (Indonesia, Malaysia, Thailand, Vietnam, Philippines) and other regions (USA, Korea, UAE, China, Japan).","Active on Instagram (@gushcloud_intl), TikTok (@gushcloud_intl), X (@gushcloud_intl), LinkedIn (Gushcloud), and Facebook (Gushcloud).",Not provided in context.,A US campaign for Innisfree generated 625.2K views. A TikTok campaign for a LazLive show garnered 1 million views.,"Marketing is driven by PR around its strategic acquisitions, high-profile government partnerships (ADIO), and its role as a key partner for platforms like YouTube in the SEA region.","Utilizes proprietary tools including www.gushad.com, www.gushmedia.co, and the Gush Pro App, which leverage AI for influencer selection and campaign insights.","AI-powered influencer selection, campaign insights, and creator monetization tools.","As a partner for YouTube's Creator Solutions program, it has deep integration with YouTube. It also executes campaigns on platforms like LazLive and TikTok Shop.",Founded in 2011. The founders bought back the company from Yello Digital Marketing Group in 2018. Co-founder Althea Lim has received numerous leadership awards.,"8,300"
Partipost,https://partipost.com/,Platform (Marketplace),A crowd influencer marketing and commerce platform operating as a marketplace. It takes a percentage of the campaign earnings negotiated between the brand and creator.,Public pricing is not disclosed. The model is based on a commission from campaign spend.,A crowd influencer marketing platform that democratizes advertising by connecting brands with a large network of nano- and micro-influencers to generate authentic word-of-mouth at scale.,"Boasts a network of over 900,000 influencers, primarily nano- and micro-influencers, across 8 Asian markets. Operates as a marketplace where influencers proactively select campaigns to join. Integrates with Shopee's Affiliate Marketing Solution (AMS) for commission-based campaigns. Brands can reuse creator content for up to one year without additional fees. Has raised $12M-$17.8M in funding.","A crowd influencer marketing and commerce platform that aims to redistribute advertising spend from tech giants to everyday people, enabling authentic word-of-mouth advertising.","Brands of all sizes seeking to engage nano- and micro-influencers in Southeast Asia. Has worked with over 100 brands in the Philippines alone, including Sensodyne, Viu, GCash, Milo, and Unilever (Pond's).","Focused on Southeast and East Asia, with headquarters in Singapore and operations in Indonesia, Taiwan, Vietnam, Malaysia, and the Philippines.","Active on LinkedIn (Partipost, with 40,171 followers), Facebook (@partipostph), TikTok (@partipostph), Twitter (@partipost_ph), and YouTube (@partipost_ph).",Not provided in context.,"The Philippines market alone accounts for over 50,000 creators.","Marketing focuses on its mission to 'democratize' influencer marketing and its large, accessible network of everyday creators. Case studies for major brands like Traveloka and GCash demonstrate its effectiveness.",A marketplace platform with a Campaign Manager dashboard for brands and a mobile app for creators.,"Influencer selection, campaign tracking and analytics, content submission and approval, and creator payment management.",Integrates with Shopee's Affiliate Marketing Solution (AMS). Supports campaigns on TikTok Shop.,"Founded in 2016. Raised a $7M Series B round in October 2022. The platform emphasizes actual payments for creators, rather than just product seeding.","27,335"
VoxFeed,Not provided in context. (https://www.voxfeed.com/),Platform,A performance-based platform with a free tier. It charges a fee per post only if the post achieves a minimum level of engagement.,"Offers a 'Free Tier' and a 'PRO' tier. For paid campaigns, it charges $0 or 10% per post (whichever is higher) and only requires payment for posts that achieve at least 5 engagements. This eliminates subscriptions or long-term contracts.",The 'First Free Influencer Marketing Platform' that connects brands with influencers and brand advocates in Latin America on a performance-based model.,"Free access to a global database of over 40,000 verified creators. Performance-based pricing model minimizes risk for brands. Includes a content review and approval process for brand safety. Offers a specialized platform for artists and music labels. Proven results with clients like AirBnB (+321% traffic) and CPK (+76% sales).","A community-focused platform that turns customers into brand advocates, making influencer marketing accessible and performance-driven.","Brands seeking to engage influencers and brand advocates in Mexico and Latin America. Notable case studies include campaigns for AirBnB, CPK, and EF English.","Primarily focused on Mexico and Latin America. Headquartered in Guadalajara, Mexico.",Not provided in context.,Not provided in context.,Not provided in context.,"Marketing is centered on its unique 'First Free Influencer Marketing Platform' positioning and its risk-free, performance-based pricing model.","An influencer marketing platform with proprietary technology for segmentation, management, tracking, and payments.","Profile segmentation, content management, content review and approval, real-time metrics dashboard, and payment processing.",Offers a Shopify integration for recruiting brand ambassadors.,Founded in 2012. Received seed funding from investors like GAIN Capital and Sage Venture Partners. Recent news from March 2025 indicated that the music-focused division of VoxFeed was for sale.,"8,700"
FLUVIP,https://www.fluvip.com/en,Mix (Agency & Technology),A technology-driven influencer marketing agency offering 360-degree campaign execution.,Not publicly detailed; potential clients are prompted to 'Request a proposal.',"A leading influencer marketing technology company in Latin America and Spain that connects brands with audiences using creativity, data, and artificial intelligence, with the ability to predict campaign results with up to 90% accuracy.","Operates in 9 countries across Latin America and Spain. Uses proprietary AI technology to predict campaign results. Offers 360-degree campaign execution, from strategy to optimization. Provides innovative solutions like AI Twin and virtual influencers. Has worked with over 650 global brands. Part of the larger Cisneros Interactive group.",A leading influencer marketing technology company in Latin America and Spain.,Global brands seeking to run influencer campaigns in Latin America and Spain.,"Focused on Latin America and Spain, with headquarters in Bogotá, Colombia, and a primary location in Miami.",Not specified,"FLUVIP emphasises creativity, data and artificial intelligence to produce campaigns that achieve specific goals. Their site explains that they connect brands with real audiences across Latin America and Spain and run campaigns aligned with business objectives like awareness, engagement or sales. They use authentic influencers who inspire trust and generate real impact, and measure results using data and optimisation at every step of the campaign. The company positions itself as a strategic ally for agencies, providing 360° execution from creative strategy through final optimisation, with regional execution in nine countries and local billing. Proprietary AI technology offers up to 90% accuracy in predicting results and delivers real‑time reports, ensuring transparency and measurable outcomes.","FLUVIP highlights more than 10 years of experience in influencer marketing and a regional presence across nine countries. They report serving over 650 global brands and managing more than 1,000 campaigns with an 80% client retention rate. Their proprietary AI provides up to 90% accuracy in predicting campaign results and real‑time reporting.","Marketing is driven by its positioning as a technology leader in the region, its AI prediction capabilities, and its affiliation with Cisneros Interactive.",A proprietary AI platform for influencer marketing.,"Predictive analytics for campaign results, real-time reporting, certified payments, influencer identification across multiple channels, and user reaction measurement for segmentation.","Supports campaigns on Twitter, Facebook, Instagram, and YouTube.","Founded in 2013. Now part of Cisneros Interactive. Has completed five funding rounds, including a Series A.","6,400"
Airfluencers,https://air.com.vc/,Mix (Agency & Technology),An agency that connects brands with influencers using technology and strategic intelligence.,Pricing details are not publicly available.,"A pioneering Brazilian agency that connects brands with influencers using a combination of technology, strategic intelligence, and a platform containing millions of Brazilian influencer profiles.","A pioneer in the Brazilian market, founded in 2016. Platform contains millions of Brazilian influencer profiles with extensive filtering options. Offers Permeets, a data management solution for privacy compliance and marketing optimization. Backed by BoostLAB.",A Brazilian agency connecting brands and influencers through technology and strategic intelligence.,Brands seeking to run influencer campaigns in Brazil.,Primarily focused on the Brazilian market. Based in São Paulo.,Instagram: https://www.instagram.com/air.com.vc/; TikTok: https://www.tiktok.com/@air.com.vc; LinkedIn: https://www.linkedin.com/company/air-com-vc/?viewAsMember=true; YouTube: https://www.youtube.com/@aircomvc,"Air (formerly Airfluencers) positions itself as a pioneer of influencer marketing in Brazil. The company states that it 'breathes influence' and was born to transform the relationship between people and brands. With nine years of experience and more than 1,000 campaigns, Air combines empathy, creativity and technology to convert conversations into memorable campaigns and guarantees impact. Its method pairs data-driven insight with human creativity — studying, analysing, measuring and connecting brands directly with consumers via creators who drive conversion. Air’s solutions include the AirSearch platform for influencer discovery, custom managed campaigns, insights and Aira — an AI system for smart influencer curation.","Air reports more than nine years of market experience, more than 1,000 campaigns executed, service for over 50 brands simultaneously and an 80% customer retention rate.","Air's marketing strategy centres on combining intelligence with creativity. The agency believes impact is not luck but method — combining empathy, data and technology to deliver personalised campaigns. Their approach involves listening to audiences, analysing data, designing creative concepts and measuring performance to connect brands directly to consumers through creators who generate real conversion.","An influencer marketing platform and Permeets, a data management solution for privacy compliance.","Campaign management, influencer discovery with extensive filters, and financial organization.",Utilizes tools like WordPress.org and Google Tag Manager.,Founded in 2016. Funded in a seed round by BoostLAB.,"7,000"
Squid,https://squid.com.br/,Mix (Platform & Agency),"A hybrid platform and agency with a performance-based model called 'Squid Growth,' where brands pay for results like clicks or leads.",Operates on a performance-based model ('Squid Growth') rather than a flat fee.,"A technology company with the largest base of influencers in Latin America (300,000+), offering a performance-based model and specialization as an official partner of the TikTok Creative Exchange (TTCX).","Largest base of influencers in Latin America with over 300,000 registered creators. Official partner of the TikTok Creative Exchange (TTCX), specializing in TikTok-first content. Offers a performance-based model where brands pay for results. Uses AI and machine learning with over 70 metrics to identify ideal influencers. Has delivered over 12,000 campaigns.","A technology company and hybrid platform/agency, part of the Wake ecosystem, particularly suited for brands managing hundreds of smaller creators in Latin America.","Brands managing large numbers of nano to macro creators, especially those focused on performance marketing and TikTok content.","Focused on Latin America, with headquarters in São Paulo, Brazil.",Not specified,"Squid is presented as a technology company passionate about the creator economy. Its site states that, after 11 years of experience, Squid leads influencer marketing strategy and operations using creativity, data and a community of 300,000 certified creators. Proprietary technology provides audited data, automated payments and legal processes, agile profile approval, real-time reports, personalised performance analysis and complete creator management. For brands, Squid offers planning, market intelligence, influencer curation, seeding and production, media placements and customised research.","Squid highlights having 11 years of experience in influencer marketing and a community of more than 300,000 certified creators, which it uses to connect brands to scalable, real results.",Marketing is driven by its status as the largest influencer network in LATAM and its official partnership with the TikTok Creative Exchange.,An influencer marketing platform that uses AI and machine learning.,"AI-powered influencer identification (using 70+ metrics), campaign management, and performance tracking.",Official partner of the TikTok Creative Exchange (TTCX).,Founded in 2014. Operates as Squid Creators and is part of the Wake ecosystem.,"2,400"
Influency.me,https://influency.me/,"Mix (Platform, Agency, Talent Management)","Offers a multi-faceted model: a software-as-a-service (SaaS) platform, a 'Full Service' agency model, an 'Express' solution for SMBs, and a talent management agency (Influency.me Stars).","Specific pricing is not detailed, but an accessible 'Express' solution is available for SMBs.","A leading Brazilian influencer marketing company offering a complete, integrated solution that combines a SaaS platform, full-service agency, SMB solution, and talent management.","Offers a complete, all-in-one solution for influencer marketing. Platform uses proprietary AI to generate data from millions of influencers worldwide. Features an automated 'Influencer Relationship Scoring' (IRS) system. Serves over 300 subscribers, including major brands like Nestlé, Globo, and Philips. Hosts the notable 'Prêmio Influency.me' awards.",A leading Brazilian influencer marketing platform and service provider that simplifies the entire process for brands of all sizes.,"A wide range of clients from small and medium businesses ('Express' solution) to large enterprises. Notable clients include Nestlé, Vigor, Globo, TIM Brasil, and Philips.",Primarily focused on the Brazilian market. Based in São Paulo.,Facebook: https://www.facebook.com; Instagram: https://www.instagram.com; LinkedIn: https://www.linkedin.com; YouTube: https://www.youtube.com; TikTok: https://www.tiktok.com,"Influency.me positions itself as a high‑performance influencer marketing partner. Its Influency.meStudio platform enables brands to find influencers quickly, negotiate and contract them, plan campaigns end‑to‑end in one place, manage activities, contracts and payments, automatically capture posts and stories, and measure results in real time. The Influency.me House service handles complete campaigns on behalf of clients, delivering creative and strategic pillars and guaranteeing results by contract. The company emphasises data‑driven decision‑making, automation to improve productivity and organisation by centralising campaigns, and operates across five Latin American countries with nearly a decade of experience.","Influency.me notes that its high‑performance methodology delivers guaranteed results backed by contract and that its platform helps brands achieve greater assertiveness, productivity and organisation in campaigns. The company highlights nearly ten years of experience and clients in five Latin American countries.","Marketing is driven by its high-profile client list, its position as a comprehensive solution provider, and the publicity from its own 'Prêmio Influency.me' awards.",A comprehensive influencer marketing platform with proprietary AI.,"Influencer search engine with over 20 filters, campaign planning, contract management, automated content capture, results measurement, and an automated 'Influencer Relationship Scoring' (IRS) system.",Integrates with tools like WooCommerce and WordPress.,Established in 2018. Raised a Series A round in 2021.,"35,265"
